2352	1339	2353
2231	96	97
97	2269	2231
2267	94	95
2267	95	2353
93	94	2264
2264	2517	93
365	1855	1856
358	1985	1829
1875	609	1662
609	774	1662
262	359	1874
875	1828	881
2644	878	879
879	2266	2644
682	2266	879
879	1867	682
2644	2266	1351
2353	1339	1351
1351	1339	2644
1351	2267	2353
1351	2266	1401
682	1867	1869
1869	1867	361
1659	881	1828
678	876	1472
2269	1499	1472
1472	2231	2269
1471	2231	1472
770	1501	771
2354	1499	1500
678	1472	2354
2354	1472	1499
2271	1833	1633
778	2270	777
2270	2669	777
1465	778	777
1433	1603	2622
2621	193	2622
488	1881	265
2437	1477	2438
2437	1832	1477
2359	1832	2437
2437	106	2359
2438	106	2437
282	2046	2045
2045	2169	282
763	2169	2045
1057	765	1470
1470	766	1875
1470	765	766
370	1627	1465
958	1124	152
152	810	813
152	642	643
1278	1206	152
152	1277	1278
258	2006	484
484	2018	258
258	2018	2007
2007	483	258
2005	483	1759
2005	258	483
2006	258	2005
1397	1491	164
164	195	1396
2629	1976	187
1976	159	187
159	1973	187
2608	189	2607
188	1802	160
1836	2598	1987
1803	2436	1800
1803	160	2436
1803	1601	188
188	160	1803
2621	1402	2103
2103	193	2621
2103	2104	192
192	193	2103
1877	1601	1066
2607	1601	1877
488	1972	266
1978	487	1878
479	2001	255
255	2002	479
255	2001	2004
1073	1803	1800
1973	704	705
171	1517	1684
1684	205	171
1121	1682	1684
1767	286	1903
2022	2023	2557
2557	162	2022
2557	2023	2112
162	2557	2440
2365	1497	1050
2365	774	609
1276	1205	2007
1447	1446	2272
2272	1446	170
208	1497	210
210	1958	208
172	1904	2560
1384	614	1464
1464	461	1384
1384	2117	610
610	614	1384
2442	614	610
537	2443	2444
1864	641	872
872	1853	1850
641	1853	872
557	641	2021
557	1853	641
1447	2272	1959
1959	2272	203
1487	1052	1762
1762	1052	1053
1761	486	1762
781	1958	1760
1759	483	257
257	483	1487
257	1762	486
1487	1762	257
2280	2281	1341
1383	2281	2279
1382	2465	1342
2465	1462	1342
2463	1342	1462
177	2100	2626
2084	175	217
2537	174	1960
2615	1960	1212
1428	1779	1212
1210	2615	1211
1211	1776	1210
2615	1210	2573
1594	454	1619
1619	1298	1594
302	303	2092
1626	1624	926
1621	450	1626
1383	1462	2652
2652	1462	2465
2465	921	2652
927	1624	1381
1381	708	927
926	1624	927
2453	2371	58
58	59	2453
2453	59	2452
2312	1338	2367
2367	66	2312
2367	2366	66
2445	64	65
65	2366	2445
2275	60	61
2275	61	2448
306	1606	307
1822	841	1818
2368	62	63
1798	1622	452
452	1622	450
452	450	1621
1812	386	1810
1810	900	1812
899	900	1810
1810	1641	899
385	1810	386
1641	1810	385
385	386	1983
2648	1338	1392
1338	2648	2412
1822	1818	311
1619	453	1970
453	466	1970
1450	1376	2529
2529	2653	1450
649	2526	828
649	517	2526
1456	2663	2526
2455	51	2456
2456	1456	2455
2455	1456	2457
1340	1456	2526
2457	1456	1340
1340	2373	2457
712	1617	710
1617	1426	710
1584	1456	2456
2663	1456	1584
828	2526	827
2526	2663	827
827	1778	828
1381	297	304
304	303	1617
299	1776	1779
1580	2286	2285
2284	2286	1579
2462	1450	1451
1451	1450	2653
1782	2531	1365
2299	35	2237
35	2233	2237
2237	2233	1365
2496	29	30
2580	29	2496
1145	2213	808
808	2531	1145
33	2398	2238
2238	32	33
2238	2497	32
2189	2188	1180
1180	1179	2189
2189	2190	185
2205	221	2221
252	221	2205
1180	2188	1169
2219	477	444
251	2189	185
2575	2206	2207
185	2208	2207
2207	251	185
2210	252	2637
2637	2206	2210
2637	2207	2206
251	2207	2637
334	1557	496
510	273	1664
1507	510	1664
345	510	1507
809	810	152
803	1582	802
1582	805	802
804	805	1582
807	2283	804
804	2283	805
806	2283	807
1948	301	501
481	274	1980
1980	1981	481
2221	176	2641
2641	2222	2221
2641	2640	216
176	2640	2641
216	2109	2641
2109	2222	2641
986	984	1807
2080	1981	986
986	1981	984
1807	984	1591
2109	215	1591
1591	215	178
273	2110	495
495	1806	274
2110	1806	495
2221	1173	1264
1264	1173	1806
1807	1591	2632
2632	1591	178
177	2101	219
219	2100	177
2633	2632	178
220	2632	2633
1964	215	216
216	2640	1964
1145	2531	1146
1965	1429	2654
13	14	2289
2289	2294	13
2671	742	2475
740	2475	739
1420	1562	578
318	1420	319
1562	1420	318
1721	1722	469
469	455	1721
2655	1712	1419
2655	1201	1200
1419	2385	2655
2385	1201	2655
2387	1712	2491
2491	10	2387
2492	10	2491
2121	318	319
2058	318	2121
275	337	1333
2482	20	2481
1150	2297	1001
1741	2297	1366
2665	2171	2494
1016	1002	2665
1741	2171	2665
2665	2297	1741
2173	2494	2127
2494	2171	2127
2576	762	1006
2125	1254	2126
475	473	2147
2142	473	2145
473	475	2145
2145	475	2146
2065	460	2126
1739	1934	762
1333	337	1739
335	1936	339
1935	1936	335
474	2142	2144
2584	2583	26
26	27	2584
2584	27	2585
2591	1029	2590
1194	1027	152
152	1027	745
745	744	152
748	1567	749
749	1551	748
1568	504	1422
2239	2243	77
77	78	2239
2239	78	2241
2307	74	75
2308	1350	2307
1349	1350	2308
2308	2242	1349
2307	75	2308
2308	75	2242
2240	78	79
2240	79	2401
2241	78	2240
2401	1370	2240
2240	1370	2241
2314	67	68
2314	2313	67
68	2309	2314
1392	2313	2314
2314	2309	1392
1392	2309	1347
2102	2105	1282
1433	2622	2102
2102	2622	193
2102	193	192
192	2105	2102
908	1990	905
908	907	1990
905	2631	908
2631	907	908
1990	907	1839
1839	388	1990
1839	1811	389
389	388	1839
1599	1802	2593
1076	1075	2593
1802	1077	2593
695	1603	2610
2610	1603	1433
241	1603	1595
1595	1597	2629
2631	1597	1595
1595	907	2631
1971	703	912
912	911	1971
1971	911	1840
1840	1843	295
390	1971	1840
1840	295	390
904	2631	905
905	1843	904
904	1840	911
1843	1840	904
2630	1597	2631
2631	904	2630
2630	904	911
1976	1597	2630
911	912	2630
2630	703	1976
2630	912	703
2592	1068	1069
1848	392	2000
392	378	2000
293	1395	379
379	1648	380
379	1395	1648
2301	550	647
647	817	2301
1349	1346	2301
2301	817	816
2301	2647	1349
816	2647	2301
1078	1977	1076
1078	1077	1977
1076	2593	1078
1078	2593	1077
1070	1485	1283
1283	1077	1802
1394	376	1977
1394	1283	1485
1394	381	376
1485	381	1394
1977	1077	1394
1077	1283	1394
1649	2659	1483
1483	2659	2504
2504	1643	1483
2246	69	70
2246	1643	1644
2406	2659	1649
2406	914	2659
915	914	2406
1649	1995	2406
2406	701	915
513	701	2406
1994	513	2406
2406	1995	1994
549	513	1994
2407	1350	1847
1994	2408	1847
2408	2407	1847
2647	668	667
667	1998	858
1651	1998	667
667	668	1651
387	388	1837
1837	388	1838
1842	387	1837
1838	903	1837
1837	902	1842
1837	903	902
702	1645	516
516	1645	563
2504	702	516
516	1644	2504
516	563	1644
1650	391	390
1650	1849	391
390	1841	1650
915	1849	1650
1650	914	915
1650	1841	914
1982	382	1808
1982	383	382
306	307	1607
2318	83	2319
2319	1439	2318
1345	1442	662
662	661	1345
670	671	1636
2315	671	670
2315	2667	551
551	671	2315
80	2400	79
81	2302	80
2402	2400	80
80	2302	2402
1367	511	2556
2556	1368	1367
1367	1334	2315
1367	1368	2302
1336	1441	547
1441	666	547
1443	545	1442
1442	372	1443
1348	381	1486
1612	381	1348
1348	550	512
1348	512	665
665	1612	1348
1486	647	1348
647	550	1348
1481	372	1391
292	1481	1801
292	1801	375
292	372	1481
1336	1443	292
375	1336	292
292	1443	372
374	1634	1482
1988	350	351
1835	350	1988
867	1835	1988
1496	1610	672
672	515	1496
677	1863	1496
1862	354	355
355	1863	1862
355	354	1861
276	350	1835
1835	1637	276
276	1637	348
353	2010	367
277	2016	354
354	2014	277
2505	1493	1858
2505	1858	1857
2321	1858	2322
2321	88	89
2322	88	2321
1857	1858	2321
677	1496	556
556	1496	515
2316	2317	1335
1335	1440	2316
84	2317	2316
85	2317	84
2667	1440	2413
1440	1335	2413
2413	515	672
1494	2247	2249
2249	1399	1494
2249	2247	86
1399	1493	2649
1493	2505	2649
2324	1493	1399
2014	1113	1112
1112	2649	675
1113	2649	1112
1113	1114	2325
1399	2649	2325
2325	2649	1113
1494	1399	2325
2325	1114	677
677	556	2325
1857	2321	2520
2520	2321	89
89	90	2520
90	2519	2520
367	2010	1860
2009	353	352
2010	353	2009
861	1860	2010
886	885	1855
2612	2611	244
196	2020	2021
117	2251	2414
2414	116	117
2415	116	2414
119	120	2254
2254	1410	2255
2255	1410	1409
1409	2250	2255
2255	119	2254
2250	119	2255
115	116	2416
2327	115	2416
2416	116	2415
2416	1475	2327
2415	1475	2416
414	415	1915
414	315	1705
1705	1910	414
414	1910	415
1915	415	1911
1911	1117	1915
407	2051	416
416	1911	415
2051	1911	416
1706	411	315
1532	411	1706
2050	406	407
2050	975	979
2053	409	1931
1711	325	326
2420	579	731
731	730	2420
1356	1353	2661
2661	1353	2418
979	2427	2661
2661	2427	1356
1356	2227	2228
2228	1353	1356
2253	1353	2228
2228	127	2253
2228	2227	127
2420	1404	1406
2422	2421	1406
1406	1404	2422
2329	128	1
1	2422	2329
2422	1404	2329
2425	601	602
2425	1526	2042
1043	2192	2191
2194	285	2169
2169	1047	2194
408	2054	314
408	409	2053
2053	2054	408
2049	2051	407
2049	406	1913
407	406	2049
1913	729	974
974	2049	1913
1678	2553	1521
1521	2553	1513
225	1513	224
1513	2553	224
224	2553	2554
2503	246	1902
2502	246	2503
1678	1902	245
245	166	1678
1902	246	245
245	246	1710
931	938	2564
932	1696	931
1307	1677	1900
2564	936	1900
1900	936	1307
1900	1520	2564
1900	200	201
1677	200	1900
1117	1710	2506
1517	168	2512
2424	199	2512
2512	168	2424
2565	1520	1408
2565	935	932
2564	1520	2565
2565	1408	934
934	935	2565
2565	931	2564
932	931	2565
2563	1900	201
1520	1900	2563
169	1408	2563
1408	1520	2563
953	1062	2513
2513	952	953
953	952	1524
1524	1679	953
953	1679	1062
403	1695	313
313	1696	403
404	1530	403
1530	1695	403
717	569	2330
2330	930	717
2330	1352	1409
929	930	2330
1409	2651	2330
2330	2651	929
1062	1679	1061
2513	1062	1061
1061	1523	2513
1061	1316	1523
1680	405	404
934	1316	1680
1912	949	950
949	2427	950
950	2427	975
1534	2427	1909
1534	2256	1356
1356	2427	1534
1533	2650	1907
2514	2650	1533
1533	1908	2514
124	125	2336
1909	1908	2336
722	721	1705
945	2650	722
2650	721	722
948	949	1912
1912	1116	948
948	1116	2514
2514	1909	948
1909	949	948
2048	1910	1115
1115	1116	2048
2048	1116	1912
415	1910	2048
1912	416	2048
2048	416	415
1697	523	522
1698	1410	2429
1698	2430	1697
1698	2429	2430
941	940	2651
942	1897	941
941	1897	1898
1898	940	941
947	1700	719
523	2257	719
719	2257	947
1699	411	412
413	1700	412
412	1700	1699
412	411	1532
1703	413	412
412	1532	1703
2342	111	2341
2341	1528	2342
608	2662	2431
115	2326	114
114	2259	113
114	2326	2260
2260	2259	114
2258	520	1386
1386	1387	2258
520	529	1386
2431	1343	1386
1386	529	2431
2259	1387	1386
792	1630	1525
792	1060	1630
260	398	1687
260	1688	398
283	2118	2191
259	2118	283
1527	397	1888
399	1524	312
1524	1693	312
312	1692	1525
312	1525	399
1694	405	1522
1522	405	1831
521	569	1522
1059	521	1522
1522	1831	1059
1522	717	1694
1522	569	717
2340	2262	109
109	110	2340
2340	110	2339
2359	106	107
2360	1832	2359
1631	1832	2360
2360	2261	1631
2359	107	2360
2360	107	2261
2343	110	111
2343	111	2342
2339	110	2343
2342	1529	2343
2343	1529	2339
2515	1529	2662
2515	1047	763
606	2232	605
606	635	2232
2046	635	606
606	2045	2046
605	2045	606
98	2269	97
98	2268	2269
1633	2270	1466
2645	768	767
1500	1628	2645
767	770	2645
2645	770	771
2645	2354	1500
771	2354	2645
769	768	2346
1628	1469	2346
2346	2645	1628
768	2645	2346
776	769	2346
2516	2517	1502
891	2518	893
890	2518	891
2351	2352	96
96	2231	2351
1339	2352	2351
1471	1339	2351
2351	2231	1471
2017	365	279
1856	1506	279
279	365	1856
279	1506	362
1855	365	366
2022	686	2595
2595	2023	2022
2558	2023	2595
358	1829	357
357	1828	358
357	1659	1828
1659	357	278
1985	1313	1051
1051	1829	1985
2112	2558	1051
1051	1313	2112
773	2365	1050
774	2365	773
1985	359	1986
359	262	1986
